question	answer	category	explanation	formula_id	variables	related_questions
コンデンサに蓄えられる静電エネルギー	W = \frac{1}{2} C V^2 = \frac{1}{2} Q V \quad [\text{J}]	理論	コンデンサに蓄えられるエネルギーは、容量と電圧の2乗に比例します。電圧を2倍にするとエネルギーは4倍になります。			
導体球の表面の電位	V = \frac{Q}{4\pi \epsilon r} \quad [\text{V}]	理論	導体球表面の電位は、球に蓄えられた電荷に比例し、半径に反比例します。半径が大きいほど同じ電荷でも電位は低くなります。			
コンデンサを２つ並列接続した場合の合成静電容量	C_0 = C_1 + C_2 \quad [\text{F}]	理論	並列接続では各コンデンサに同じ電圧がかかり、合成静電容量は各容量の和になります。容量を増やしたいときの接続です。			
コンデンサを２つ並列接続した場合の回路全体の電荷	Q_0 = Q_1 + Q_2 = (C_1 + C_2)V \quad [\text{C}]	理論	並列コンデンサでは、全体の電荷は各コンデンサに蓄えられる電荷の和になります。電圧は各コンデンサで共通です。			
コンデンサを２つ直列接続した場合の合成静電容量	C_0 = \frac{C_1 C_2}{C_1 + C_2} \quad [\text{F}]	理論	直列接続では各コンデンサの電荷が等しくなり、合成静電容量は各容量より小さくなります。耐電圧を高めたい場合にも使われます。			
コンデンサを２つ並列接続した場合の電圧の分圧	V_1 = \frac{C_2}{C_1 + C_2} V \quad [\text{V}]	理論	直列コンデンサでは電荷が同じになり、電圧は容量に反比例して分担されます。容量が小さいコンデンサほど大きな電圧がかかります。			
コンデンサを２つ並列接続した場合の、それぞれの電荷量と回路全体の電荷量の関係	Q_0 = Q_1 = Q_2 \quad [\text{C}]	理論	並列コンデンサでは、全体の電荷は各コンデンサに蓄えられる電荷の和になります。電圧は各コンデンサで共通です。			
電気抵抗	R = \frac{\rho l}{S} \quad [\Omega]	理論	導体の抵抗は抵抗率と長さに比例し、断面積に反比例します。細く長い導体ほど抵抗が大きくなります。			
抵抗の温度による変化	R_t = R_0 (1 + \alpha_0 \Delta t) \quad [\Omega]	理論	金属抵抗は温度上昇によって増加します。温度係数を使うことで、基準温度から変化したときの抵抗値を近似できます。			
抵抗のΔ→Y変換	R_a = \frac{R_{ab} R_{ca}}{R_{ab} + R_{bc} + R_{ca}} \quad [\Omega]	理論	デルタ結線の抵抗を等価なスター結線に変換する式です。複雑な抵抗回路を簡単にして計算するために使います。			
抵抗のY→Δ変換	R_{ab} = \frac{R_a R_b + R_b R_c + R_c R_a}{R_c} \quad [\Omega]	理論	スター結線の抵抗を等価なデルタ結線に変換する式です。回路の形を変えても端子から見た電気的性質は同じになります。			
正弦波交流の一般式	v(t) = V_m \sin(\omega t + \theta) \quad [\text{V}]	理論	正弦波交流は最大値、角周波数、時刻、初期位相で表します。位相角θにより波形の横方向のずれを表せます。			
交流電圧の平均値と実効値	"V = \frac{V_m}{\sqrt{2}}\quad [\text{V}]
V_{av} = \frac{2}{\pi} V_m\quad [\text{V}]"	理論	正弦波交流の実効値は最大値を√2で割った値です。平均値は半周期の平均で、整流回路などの計算で使います。			
正弦波交流電圧の複素数表示	\dot{V} = V \cos \theta + j V \sin \theta \quad [\text{V}]	理論	交流の大きさと位相を複素数で表すと、抵抗・リアクタンスを含む回路計算を代数的に扱いやすくなります。			
正弦波交流電圧の極座標表示	\dot{V} = V \angle \theta \quad [\text{V}]	理論	交流電圧を大きさVと位相角θで表す形式です。フェーザ図や三相交流の位相関係を整理するときに便利です。			
誘導性リアクタンス	X_L = \omega L = 2\pi f L \quad [\Omega]	理論	コイルのリアクタンスは周波数とインダクタンスに比例します。周波数が高いほど電流の変化を妨げる働きが強くなります。			
容量性リアクタンス	X_C = \frac{1}{\omega C} = \frac{1}{2\pi f C} \quad [\Omega]	理論	コンデンサのリアクタンスは周波数と静電容量に反比例します。周波数が高いほど交流電流を通しやすくなります。			
RL直列回路のインピーダンス	\dot{Z} = R + j \omega L \quad [\Omega]	理論	RL直列回路では、抵抗成分Rとコイルのリアクタンス成分が複素数として加わります。電流は電圧より遅れます。			
RL直列回路の電流	\dot{I} = \frac{\dot{V}}{R + j \omega L} \quad [\text{A}]	理論	RL直列回路の電流は、電圧フェーザをインピーダンスで割って求めます。インダクタンスの影響で位相遅れが生じます。			
RC直列回路のインピーダンス	\dot{Z} = R - j \frac{1}{\omega C} \quad [\Omega]	理論	RC直列回路では、コンデンサのリアクタンスを負の虚数成分として表します。電流は電圧より進みます。			
RC直列回路の電流	\dot{I} = \frac{\dot{V}}{R - j \frac{1}{\omega C}} \quad [\text{A}]	理論	RC直列回路の電流は、電圧フェーザを合成インピーダンスで割って求めます。容量性のため進み位相になります。			
RLC直列回路のインピーダンス	\dot{Z} = R + j\left(\omega L - \frac{1}{\omega C}\right) \quad [\Omega]	理論	RLC直列回路では、コイルとコンデンサのリアクタンス差が虚数成分になります。差が0になると共振します。			
RLC直列回路の共振条件	"\omega L = \frac{1}{\omega C}
f_0 = \frac{1}{2\pi\sqrt{L C}}\quad [\text{Hz}]"	理論	RLC直列回路では、誘導性リアクタンスと容量性リアクタンスが等しくなると共振します。このときインピーダンスはほぼ抵抗成分だけになります。			
三相正弦波交流の瞬時値	"v_a=V_m\sin\omega t\quad [\text{V}]
v_b=V_m\sin(\omega t-\frac{2}{3}\pi)\quad [\text{V}]
v_c=V_m\sin(\omega t-\frac{4}{3}\pi)\quad [\text{V}]"	理論	三相交流は3つの正弦波が120度ずつ位相差をもって並んだものです。各相の瞬時値を時間関数として表します。			
三相正弦波交流のベクトル表示	"\dot{V}_a = V\angle 0^\circ\quad [\text{V}]
\dot{V}_b = V\angle -120^\circ\quad [\text{V}]
\dot{V}_c = V\angle -240^\circ\quad [\text{V}]"	理論	三相交流の各相をフェーザで表すと、位相が120度ずつずれていることが明確になります。対称三相回路の基本です。			
Y結線の線間電圧と相電圧の関係	V_l = \sqrt{3} V_p \quad [\text{V}]	理論	Y結線では線間電圧が相電圧の√3倍になります。電源や負荷の結線を扱うときの基本関係です。			
Δ結線の線間電流と相電流の関係	I_l = \sqrt{3} I_p \quad [\text{A}]	理論	Δ結線では線電流が相電流の√3倍になります。相と線の値を取り違えないことが重要です。			
三相交流の電力	P = \sqrt{3} V_l I_l \cos \theta = 3 V_p I_p \cos \theta \quad [\text{W}]	理論	三相交流の有効電力は、線間電圧、線電流、力率から求めます。相電圧と相電流を使う場合は3倍で表します。			
波形率と波効率の定義	"\text{波形率} = \frac{\text{実効値}}{\text{平均値}}
\text{波高率} = \frac{\text{最大値}}{\text{実効値}}"	理論	波形率は実効値と平均値の比、波高率は最大値と実効値の比です。波形の性質やひずみの評価に使います。			
水力発電所の発電機出力	P = 9.8 Q H \eta_t \eta_g \quad [\text{kW}]	電力	水力発電の出力は、流量、有効落差、水車効率、発電機効率に比例します。落差と流量が大きいほど発電出力は大きくなります。			
年間平均流量	Q_{av} = \frac{\text{年間総流出量}}{365 \times 24 \times 3600} \quad [\text{m}^3/\text{s}]	電力	年間総流出量を1年間の秒数で割ることで、平均的に流れている水量を求めます。水力発電の年間計画に使います。			
ベルヌーイの定理	z + \frac{p}{\rho g} + \frac{v^2}{2g} = \text{const} \quad [\text{m}]	電力	位置エネルギー、圧力エネルギー、速度エネルギーの和が一定であることを表します。水力設備の流れの解析に使います。			
水の持つエネルギー	E = m g z + p \frac{m}{\rho} + \frac{1}{2} m v^2 \quad [\text{J}]	電力	水のエネルギーは、位置、圧力、速度の3つの成分に分けて考えます。水力発電では主に位置エネルギーを利用します。			
ペルトン水車のノズルにおける水の噴射速度	v = \sqrt{2 g H} \quad [\text{m/s}]	電力	ペルトン水車では、落差によって水がノズルから高速で噴射されます。落差が大きいほど噴射速度は大きくなります。			
水車の比速度	n_s = n \cdot \frac{P^{\frac{1}{2}}}{H^{\frac{5}{4}}} \quad [\text{m}\cdot\text{kW}]	電力	比速度は、水車の形式選定や性能比較に使う指標です。回転速度、出力、落差から水車の特性を表します。			
水車の速度変動率	\delta = \frac{n_{max} - n_n}{n_n} \times 100 \quad [\%]	電力	速度変動率は、負荷変化によって水車の速度がどれだけ変わるかを百分率で表します。調速性能の評価に使います。			
水車の速度調定率	R = \frac{\frac{n_1 - n_2}{n_n}}{\frac{P_2 - P_1}{P_n}} \times 100 \quad [\%]	電力	速度調定率は、出力変化に対する速度変化の割合を表します。発電機の負荷分担や周波数制御に関係します。			
揚水所用動力	P_p = \frac{9.8 Q_p H_p}{\eta_p} \quad [\text{kW}]	電力	揚水に必要な動力は、流量、揚程に比例し、ポンプ効率が高いほど小さくなります。揚水発電の入力側の計算です。			
揚水発電所の総合効率	"\eta_{all} = \eta_{gen} \cdot \eta_{pump}
\eta_{all} = \frac{P_g \cdot t_g}{P_p \cdot t_p} \times 100\quad [\%]"	電力	揚水発電の総合効率は、発電時に得たエネルギーを揚水時に使ったエネルギーで割って求めます。発電効率とポンプ効率の積でも表せます。			
風力発電所の出力	P = \frac{1}{2} \rho A v^3 \eta \quad [\text{W}]	電力	風力発電の出力は風速の3乗に比例します。風速が少し上がるだけで、取り出せるエネルギーは大きく増えます。			
変圧器A,Bの負荷分担	"P_A = P_k \times
\frac{\frac{S_A}{\%Z_A}}{\frac{S_A}{\%Z_A} + \frac{S_B}{\%Z_B}}\quad [\text{kV}\cdot\text{A}]"	電力	並列運転する変圧器の負荷は、容量に比例し、百分率インピーダンスに反比例して分担されます。インピーダンスが小さい側ほど多く負荷を受け持ちます。			
三相短絡電流	I_s = \frac{100}{\%Z} I_n \quad [\text{A}]	電力	三相短絡電流は、定格電流を百分率インピーダンスで拡大して求めます。％Zが小さいほど短絡電流は大きくなります。			
線間短絡電流	"I_{s2} = \frac{\sqrt{3}}{2} I_s
I_{s2} = \frac{\sqrt{3}}{2} \frac{100}{\%Z} I_n\quad [\text{A}]"	電力	線間短絡電流は三相短絡電流の√3/2倍として扱います。短絡事故時の保護装置選定に使います。			
短絡容量	P_s = \sqrt{3} V_n I_s = \frac{100}{\%Z} P_n \quad [\text{V}\cdot\text{A}]	電力	短絡容量は短絡点で供給される見かけ電力です。系統の短絡強度や遮断器容量の検討に使います。			
変圧器の効率	"\eta =
\frac{P \cos \theta}{P \cos \theta + P_i + \alpha^2 P_c} \times 100\quad [\%]"	電力	変圧器の効率は、出力を出力と損失の合計で割って求めます。鉄損と銅損を考慮して負荷率ごとの効率を評価します。			
変圧器の全日効率	"\eta_d =
\frac{\sum P_{out} \cdot t}{\sum P_{out} \cdot t + 24 P_i + \sum \alpha^2 P_c \cdot t}
\times 100\quad [\%]"	電力	全日効率は1日の出力電力量を、出力電力量と1日の損失電力量の合計で割って求めます。負荷が時間で変わる設備に使います。			
単相２線式の線路電流	I = \frac{P}{V \cos \theta} \quad [\text{A}]	電力	送電方式ごとに、同じ電力を送るために必要な線路電流を求める式です。電圧や力率が高いほど電流は小さくなります。			
単相３線式の線路電流	I = \frac{P}{2 V \cos \theta} \quad [\text{A}]	電力	送電方式ごとに、同じ電力を送るために必要な線路電流を求める式です。電圧や力率が高いほど電流は小さくなります。			
三相３線式の線路電流	I = \frac{P}{\sqrt{3} V \angle \cos \theta} \quad [\text{A}]	電力	送電方式ごとに、同じ電力を送るために必要な線路電流を求める式です。電圧や力率が高いほど電流は小さくなります。			
単相２線式の電圧降下	\Delta V = 2 I (R \cos \theta + X \sin \theta) \quad [\text{V}]	電力	線路の抵抗とリアクタンスにより、負荷電流が流れると受電端電圧が低下します。単相と三相で係数が異なります。			
三相３線式の電圧降下	\Delta V = \sqrt{3} I (R \cos \theta + X \sin \theta) \quad [\text{V}]	電力	線路の抵抗とリアクタンスにより、負荷電流が流れると受電端電圧が低下します。単相と三相で係数が異なります。			
電圧変動率	\epsilon = \frac{V_0 - V_n}{V_n} \times 100 \quad [\%]	電力	無負荷電圧と定格負荷時電圧の差を、定格電圧に対する百分率で表します。電圧の安定度を評価する指標です。			
単相２線式の電力損失	P_L = 2 I^2 R \quad [\text{W}]	電力	線路損失は電流の2乗と抵抗に比例します。電流を小さくすると損失を大きく減らせます。			
単相３線式の電力損失	P_L = 2 I^2 R \quad [\text{W}]	電力	線路損失は電流の2乗と抵抗に比例します。電流を小さくすると損失を大きく減らせます。			
三相３線式の電力損失	P_L = 3 I^2 R \quad [\text{W}]	電力	線路損失は電流の2乗と抵抗に比例します。電流を小さくすると損失を大きく減らせます。			
地中ケーブルで発生する誘電体損	P_d = \omega C V^2 \tan \delta \quad [\text{W}]	電力	ケーブルの絶縁体に交流電圧が加わると誘電体損が発生します。周波数、静電容量、電圧の2乗、誘電正接に比例します。			
受電端電力（相電圧で表示）	P_r = 3 \frac{E_s E_r}{X} \sin \delta \quad [\text{W}]	電力	送受電端の電圧とリアクタンス、相差角から送れる有効電力を求めます。相電圧表示と線間電圧表示で係数が変わります。			
受電端電力（線間電圧で表示）	P_r = \frac{V_s V_r}{X} \sin \delta \quad [\text{W}]	電力	送受電端の電圧とリアクタンス、相差角から送れる有効電力を求めます。相電圧表示と線間電圧表示で係数が変わります。			
電力の複素数表示	\dot{S} = P + j Q = \dot{V} \overline{\dot{I}} \quad [\text{V}\cdot\text{A}]	電力	複素電力は有効電力Pと無効電力Qをまとめて表します。電圧フェーザと電流フェーザの共役を使って求めます。			
力率改善コンデンサ容量を求める式	Q_c = P (\tan \theta_1 - \tan \theta_2) \quad [\text{var}]	電力	力率を改善するために必要なコンデンサの無効電力を求める式です。改善前後の力率角のtanの差が補償量になります。			
力率改善後の電力損失の変化	P_{L2} = P_{L1} \left(\frac{\cos \theta_1}{\cos \theta_2}\right)^2 \quad [\text{W}]	電力	線路損失は電流の2乗と抵抗に比例します。電流を小さくすると損失を大きく減らせます。			
非接地線路における一線地絡電流	I_g = \sqrt{3} \omega C V \quad [\text{A}]	電力	非接地系統の一線地絡電流は、対地静電容量を通る充電電流で決まります。線路が長いほど容量が増え地絡電流も増えます。			
中性点接地線路における一線地絡電流	I_g \approx \frac{E}{R_n} = \frac{V}{\sqrt{3} R_n} \quad [\text{A}]	電力	中性点接地系統の一線地絡電流は、主に接地抵抗で制限されます。接地抵抗が小さいほど地絡電流は大きくなります。			
架空電線路のたるみ	D = \frac{W S^2}{8 T} \quad [\text{m}]	電力	架空電線のたるみは、電線重量と径間長の2乗に比例し、張力に反比例します。径間が長いほどたるみは大きくなります。			
架空電線路の実長	L = S + \frac{8 D^2}{3 S} \quad [\text{m}]	電力	たるみを含む架空電線の実際の長さは、径間長より少し長くなります。施工や材料量の見積もりに使います。			
直流機の電機子導体1本あたりの誘導起電力	e = B l v \quad [\text{V}]	機械	導体が磁束を切って運動すると誘導起電力が生じます。直流機の各電機子導体に発生する電圧の基本式です。			
直流機の電機子誘導起電力	E = \frac{p Z}{60 a} \Phi N = K_e \Phi N \quad [\text{V}]	機械	直流機全体の誘導起電力は、極数、導体数、磁束、回転速度に比例し、並列回路数に反比例します。			
直流電動機のトルク	T = \frac{p Z}{2\pi a} \Phi I_a = K_t \Phi I_a \quad [\text{N}\cdot\text{m}]	機械	直流電動機のトルクは、磁束と電機子電流に比例します。界磁を強くし、電機子電流を増やすほどトルクが大きくなります。			
直流電動機の出力	P = E I_a = \frac{2\pi N}{60} T \quad [\text{W}]	機械	直流電動機の出力は、電気的には逆起電力と電機子電流の積、機械的には角速度とトルクの積で表せます。			
変圧器の一次巻線、二次巻線に生じる誘導起電力	E = 4.44 f N \Phi_m \quad [\text{V}]	機械	変圧器の誘導起電力は、周波数、巻数、最大磁束に比例します。正弦波交流の実効値として4.44の係数が付きます。			
変圧器の巻数比と電圧、電流の関係	"\frac{N_1}{N_2} = \frac{V_1}{V_2}
\frac{N_1}{N_2} = \frac{I_2}{I_1} = a"	機械	理想変圧器では、電圧比は巻数比に等しく、電流比はその逆になります。電圧を上げると電流は下がります。			
変圧器を一次側から見た時のインピーダンス	Z_1 = a^2 Z_2 \quad [\Omega]	機械	二次側インピーダンスを一次側へ換算すると、巻数比の2乗倍になります。等価回路を一次側にそろえて計算できます。			
変圧器を二次側から見た時のインピーダンス	Z_2 = \frac{Z_1}{a^2} \quad [\Omega]	機械	一次側インピーダンスを二次側へ換算すると、巻数比の2乗で割ります。変圧器の等価回路を二次側基準で扱うときに使います。			
変圧器の銅損	P_c = I^2 R \quad [\text{W}]	機械	銅損は巻線抵抗に電流が流れることで生じるジュール損です。電流の2乗に比例するため、負荷が大きいほど増えます。			
変圧器のヒステリシス損	P_h = k_h f B_m^2 \quad [\text{W}]	機械	ヒステリシス損は鉄心の磁化反転で生じる損失です。周波数と最大磁束密度に関係し、鉄心材料で大きさが変わります。			
変圧器の渦電流損	P_e = k_e f^2 t^2 B_m^2 \quad [\text{W}]	機械	渦電流損は鉄心内に誘導される循環電流による損失です。薄い積層鉄心にすることで小さくできます。			
変圧器の鉄損と電圧、周波数の関係	P_i \propto f \left(\frac{V}{f}\right)^2 = \frac{V^2}{f} \quad [\text{W}]	機械	変圧器の鉄損は、電圧と周波数の関係に強く影響されます。周波数一定なら電圧が高いほど鉄損は増えます。			
変圧器の効率	"\eta =
\frac{P \cos \theta}{P \cos \theta + P_i + \alpha^2 P_c} \times 100\quad [\%]"	電力	変圧器の効率は、出力を出力と損失の合計で割って求めます。鉄損と銅損を考慮して負荷率ごとの効率を評価します。			
変圧器の効率が最大となる条件	P_i = \alpha^2 P_c \implies \alpha = \sqrt{\frac{P_i}{P_c}}	機械	変圧器の効率は、鉄損と負荷時銅損が等しくなるとき最大になります。負荷率αを使って最大効率条件を表します。			
変圧器の全日効率	"\eta_d =
\frac{\sum P_{out} \cdot t}{\sum P_{out} \cdot t + 24 P_i + \sum \alpha^2 P_c \cdot t}
\times 100\quad [\%]"	電力	全日効率は1日の出力電力量を、出力電力量と1日の損失電力量の合計で割って求めます。負荷が時間で変わる設備に使います。			
変圧器の百分率インピーダンス	\%Z = \frac{Z I_n}{V_n} \times 100 \quad [\%]	機械	百分率インピーダンスは、定格電流によるインピーダンス降下を定格電圧に対する百分率で表します。短絡電流の計算にも使います。			
変圧器の百分率抵抗降下	\%p = \frac{R I_n}{V_n} \times 100 = \frac{P_c}{S_n} \times 100 \quad [\%]	機械	百分率抵抗降下は、定格電流による抵抗分の電圧降下を百分率で表します。銅損と定格容量からも求められます。			
変圧器の百分率リアクタンス降下	\%q = \frac{X I_n}{V_n} \times 100 \quad [\%]	機械	百分率リアクタンス降下は、定格電流によるリアクタンス分の電圧降下を百分率で表します。電圧変動や短絡計算に使います。			
単巻変圧器の線路容量	S_l = V_2 I_2 \quad [\text{V}\cdot\text{A}]	電力	単巻変圧器の線路容量は、負荷側に供給する見かけ電力です。自己容量より大きく扱えるのが単巻変圧器の特徴です。			
単巻変圧器の自己容量	S_w = (V_2 - V_1) I_2 \quad [\text{V}\cdot\text{A}]	機械	自己容量は、単巻変圧器の巻線を通して実際に変圧作用で伝わる容量です。線路容量との差を理解することが重要です。			
誘導電動機の回転数	N = \frac{120 f}{p}(1 - s) = N_s (1 - s) \quad [\text{min}^{-1}]	機械	誘導電動機の回転数は同期速度より滑り分だけ低くなります。周波数、極数、滑りから実回転数を求めます。			
誘導電動機の2次入力	P_2 = \omega_s T = \frac{P_{c2}}{s} \quad [\text{W}]	機械	誘導電動機の2次入力は、空隙を通して回転子側へ渡る電力です。同期角速度とトルクの積、または2次銅損と滑りから求めます。			
誘導電動機の2次銅損	P_{c2} = s P_2 \quad [\text{W}]	機械	誘導電動機の2次銅損は、2次入力のうち滑りsの割合です。滑りが大きいほど損失として失われる割合が増えます。			
誘導電動機の機械的出力	P_m = (1 - s) P_2 \quad [\text{W}]	機械	誘導電動機の機械的出力は、2次入力から2次銅損を除いた分です。2次入力の1-s倍になります。			
誘導電動機の2次入力、2次銅損、機械的出力の比	P_2 : P_{c2} : P_m = 1 : s : (1 - s)	機械	誘導電動機の2次入力は、空隙を通して回転子側へ渡る電力です。同期角速度とトルクの積、または2次銅損と滑りから求めます。			
誘導電動機の同期ワット	P_2 = \omega_s T \implies P_2 \ [\text{W}] \equiv T \ [\text{N}\cdot\text{m}]	機械	同期ワットは、2次入力をトルクと対応させて扱う考え方です。計算上、2次入力の値がトルクに対応します。			
誘導電動機の2次巻線に抵抗を挿入した際の滑りの変化（比例推移）	\frac{r_2}{s} = \frac{r_2 + R}{s'} = \text{const}	機械	巻線形誘導電動機で2次抵抗を増やすと、最大トルクを発生する滑りが大きくなります。この関係を比例推移といいます。			
同期機の回転数	N_s = \frac{120 f}{p} \quad [\text{min}^{-1}]	機械	同期機の回転数は電源周波数と極数で決まります。負荷が変わっても、同期を保つ限りこの速度で回転します。			
同期機の誘導起電力	E = 4.44 k_w f N \Phi \quad [\text{V}]	機械	同期機の誘導起電力は、巻線係数、周波数、巻数、磁束に比例します。巻線配置の影響を巻線係数で補正します。			
同期発電機の短絡比	K_s = \frac{I_{s0}}{I_n} = \frac{100}{\%X_s}	電力	同期発電機の短絡比は、短絡特性と同期リアクタンスの大きさを表す指標です。短絡比が大きいほど電圧変動が小さい傾向があります。			
同期発電機のベクトル図	\dot{E} = \dot{V} + j X_s \dot{I} \quad [\text{V}]	機械	同期発電機では、端子電圧に同期リアクタンスによる電圧降下を加えて内部起電力を表します。フェーザの向きが重要です。			
同期電動機のベクトル図	\dot{E} = \dot{V} - j X_s \dot{I} \quad [\text{V}]	機械	同期電動機では、端子電圧から同期リアクタンス降下を差し引いて内部起電力を表します。発電機とは符号の向きが異なります。			
負荷角を用いて同期電動機の出力を表す	P = \frac{V E}{X_s} \sin \delta \quad [\text{W}]	機械	同期電動機の出力は、端子電圧、内部起電力、同期リアクタンス、負荷角で決まります。負荷角が大きくなるほど一定範囲で出力が増えます。			
単相半波整流回路の直流平均電圧	"V_d = \frac{1}{\pi} \int_0^\pi \sqrt{2}V \sin \omega t \, dt
V_d = \frac{\sqrt{2}}{\pi} V \approx 0.45 V\quad [\text{V}]"	機械	半波整流では交流の片側半周期だけを取り出すため、直流平均電圧は全波整流より小さくなります。			
単相全波整流回路の直流平均電圧	V_d = \frac{2\sqrt{2}}{\pi} V \approx 0.90 V \quad [\text{V}]	機械	全波整流では交流の両半周期を直流側に利用します。半波整流より平均電圧が大きく、脈動も小さくなります。			
三相半波整流回路の直流平均電圧	V_d = \frac{3\sqrt{6}}{2\pi} V \approx 1.17 V \quad [\text{V}]	機械	半波整流では交流の片側半周期だけを取り出すため、直流平均電圧は全波整流より小さくなります。			
